Defined term,Definition,Reference1,Reference2
>49 k/ul,"This is high neutrophil or white blood cell count, usually due to infection.",https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,https://emedicine.medscape.com/article/208576-overview
>49 k/ul,"This is high neutrophil or white blood cell count, usually due to infection.",https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,https://emedicine.medscape.com/article/208576-overview
>90 mm Hg diastolic blood pressure,"Hypertension, which is high blood pressure.",https://my.clevelandclinic.org/health/articles/10881-vital-signs,
>99.1F,fever,https://my.clevelandclinic.org/health/articles/10881-vital-signs,
0.3 hct,0.3 hct seems unbelievably low.  Normal hct is 30.,,
0.3 k/ul,"This is low neutrophil, which is white blood cell, count.",,
0/5,This means absent strength- no observable movement.,http://studylib.net/doc/8145789/acronyms---medical-record-terminology,
102.5 despite,fever,,
120 to 139 mm Hg systolic blood pressure,prehypertension,https://my.clevelandclinic.org/health/articles/10881-vital-signs,
1900 0700,1900 and 0700 refer to times of day.,context,
1st unit,The first unit of blood or blood component was transfused.,,
1u,1 unit of blood or a blood component,,
20 resp,20 breath sounds per minute; borderline too frequent,,
20mg daily,20mg daily is the dose of many medications.,,
21-mm pericardial bioprosthesis,heart valve replacement,http://circ.ahajournals.org/content/112/12/e146,
21pm,21pm refers to time of day.,context,
27 k/ul,units for counting neutrophils or white blood cells,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
28 am,time of day within the hour after midnight,,
2gm,"2gm is 2 grams, an amount of medicine.",,
2units cryo,"This is two units of cryoprecipitate, one of the blood components.",,
3+ edema extremities,"Moderate edema in both legs indicates the inability of the kidneys to clear fluid, resulting in fluid overload.","Besen BAMP, Gobatto ALN, Melro LMG, Maciel AT, Park M.  Fluid and electrolyte overload in critically ill patients: an overview.  World J Crit Care Med 2015 May 4; 4(2):116-129.  doi: 10.5492/wjccm.v4.i2.116.","Urden LD, Stacy KM, Lough ME.  Critical Care Nursing - E-Book: Diagnosis and Management.  8th ed. Elsevier. 2018. pp 190-191. "
4+ scrotal,"This is severe pitting edema of the scrotum, which occurs with generalized edema.","Urden LD, Stacy KM, Lough ME.  Critical Care Nursing - E-Book: Diagnosis and Management.  8th ed. Elsevier. 2018. pp 190-191. ",
40 ppm,40 ppm means 40 parts per million and could refer to a medication or a patient measurement.,,
50% collar,The collar of a Venturi oxygen face mask allows adjustment of the oxygen fraction from 24% to 50%.,"Marini JJ, Wheeler AP.  Critical Care Medicine: The Essentials. Lippincott Williams & Wilkins, Mar 28, 2012.   pp 336-337. ",
5-10% plasma cells.,Normal bone marrow contains less than 5% plasma cells; bone marrow of an individual with multiple myeloma contains over 10% plasma cells.,https://www.encyclopedia.com/medicine/diseases-and-conditions/pathology/multiple-myeloma,https://www.ncbi.nlm.nih.gov/pubmed/8845568
7.0 Portex DIC tracheostomy tube,"7.0 Portex is Portex brand cuffed DIC tracheostomy tube, tube size 7.0 mm.  DIC = disposable inner cannula.","Roberts JR.  Roberts and Hedges’ Clinical Procedures in Emergency Medicine and Acute Care. E-Book. Elsevier Health Sciences, 2017.  P. 148.  ",
80 to 89 mm Hg diastolic blood pressure,prehypertension,https://my.clevelandclinic.org/health/articles/10881-vital-signs,
A & C,alert and cooperative,http://www.globalrph.com/abbreviations_A.htm,
AAO,"AAO is awake, alert, and oriented.",https://acronyms.thefreedictionary.com/AAO,
AAO,AAO is age at onset.,Segan's Medical Dictionary.  Farlex Inc. 2012.,
abd,abdominal or abdomen,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf
abd approximated,Abdominal wall was closed.,"Mosby's Medical Dictionary, 8th edition. Mosby. 2009. ",
abd dsg,abdomen dressing,globalrph.com/abbreviations,
abd firm,Adomen is firm.,,
abd hypoactive,Bowels are hypoactive.,,
abd soft,Abdomen feels normal.,,
abd softly distended,Abdomen is softly distended.,,
abd wound dsg changed,Abdomen wound dressing was changed.,globalrph.com/abbreviations,
abdominal partial closure,Abdominal partial closure is a surgical strategy for a variety of abdominal wounds.,http://www.scielo.br/scielo.php?pid=S0100-69912013000100017&script=sci_arttext&tlng=en,
ABG,arterial blood gas,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
ablation tachy-brady syndrome,Ablation of some of the tissue that regulates heartbeats could have been a treatment for tachy-brady syndrome.,,
ABX,antibiotics,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
AC,"assist/control, referring to a mode of mechanical ventilation",http://www.ucdenver.edu/academics/colleges/medicalschool/departments/medicine/intmed/imrp/CURRICULUM/Documents/Mechanical%20ventilation%20review.pdf,
ac,before meals,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
access RIJ,"This is access to the right internal jugular vein, which could be for a number of reasons.",,
acetabulum,The acetabulum is the socket for the ball of the hip joint.,https://www.mayoclinic.org/medical-professionals/trauma/news/fractured-repairing-the-acetabulum/mac-20429977,
acetaminophen,Acetaminophen is a medication to treat pain and fever.,https://www.rxlist.com/tylenol-drug/patient-images-side-effects.htm,
acinetobacter,Acinetobacter and Klebsiella bacteria are increasingly antibiotic resistant infections in hospitals.,https://academic.oup.com/jac/article/65/8/1807/741152,
ACLS,"ACLS is acrocallosal syndrome, a rare genetic abnormality of parts of the brain and extra fingers or toes.",https://ghr.nlm.nih.gov/condition/acrocallosal-syndrome,
ACLS,ACLS is advanced cardiac life support.,https://www.acronymfinder.com/Science-and-Medicine/ACLS.html,
ACLS,"ACLS is anticardiolipin syndrome, which is an autoimmune disorder that increases thrombosis risk.",https://www.acronymfinder.com/Science-and-Medicine/ACLS.html,https://labtestsonline.org/tests/cardiolipin-antibodies
ACLS protocol,ACLS protocol is the algorithm for providing advanced cardiac life support.,https://www.acls.net/aclsalg,
actinomycosis,"Actinomyces bacteria usually live harmlessly in the lining of the mouth, throat, digestive tract, and urinary tract, and female genital tract.  They can spread dangerously into injured tissue.",https://www.medicalnewstoday.com/articles/245144.php,
active upper/lower GI,The upper and lower sections of the gastrointestinal tract are active.,,
"acute (not ARDS/) gastrointestinal bleed,",new gastrointestinal bleed,,
acute hypoxic respiratory,new lack of oxygen,,
acute renal failure,new kidney failure,,
additional units,additional units of blood or blood component,,
adv rxn,adverse reaction,,
afebrile,not having a fever,https://www.merriam-webster.com/dictionary/afebrile,
Afib,atrial fibrillation,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
AG,"AG means acid gas, referring to breathing effectiveness.",https://www.acronymfinder.com/Science-and-Medicine/AG.html,
AG,AG means agility.,https://www.acronymfinder.com/Science-and-Medicine/AG.html,
AG,AG means anion gap.,https://www.acronymfinder.com/Science-and-Medicine/AG.html,
Ag,Ag means antigen.,https://www.acronymfinder.com/Science-and-Medicine/AG.html,
AG,AG means axiogingival.,https://www.acronymfinder.com/Science-and-Medicine/AG.html,
Ag,Ag means silver.,https://www.acronymfinder.com/Science-and-Medicine/AG.html,
Agatroban,Agatroban is a thrombin inhibitor.,http://www.rcsismj.com/2011/09/19/heparin-induced-thrombocytopenia-and-its-treatment-with-agatroban/,
a-gram,arteriogram? Or angiogram (image of coronary arteries)?,,
albumin,Albumin may be given to critically ill patients.,,
albumin:2.0 g/dl,"Serum albumin levels below 3.4 g/dl can indicate: liver disease, inflammation, shock, malnutrition, kidney problems, crohn's disease, or celiac disease.",https://www.healthline.com/health/albumin-serum#results,
albuterol,"This is used to prevent and treat difficulty breathing, wheezing, shortness of breath, coughing, and chest tightness caused by lung diseases such as asthma and chronic obstructive pulmonary disease (COPD).",https://medlineplus.gov/druginfo/meds/a682145.html,
alcohol abuse,Alcohol abuse is excessive drinking of alcohol.,https://www.alcoholrehabguide.org/alcohol/,
alcohol cirrhosis ,Alcohol cirrhosis is scarring of the liver due to alcohol damage.,https://medlineplus.gov/ency/article/000281.htm,
alcohol hepatitis ,Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol.,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,
alert,Patient is alert.,,
alert and oriented x 3 (A&Ox3) ,"alert and oriented x 3 (A&Ox3) means patient seems cognitively normal and is oriented to time, place, and person.","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
alk,alkaline,,
alk phos,"alkaline phosphatase, indicator of liver health",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
alk phos bili:105/0.1,These are liver function tests. Normal alkaline phosphatase is 45 to 115. Normal bilirubin is 0.1 to 1.2.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
alk phos bili:54/0.4,These are liver function tests. Normal alkaline phosphatase is 45 to 115. Normal bilirubin is 0.1 to 1.2.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
allergies:,This precedes a list of known sensitivities to drugs or other substances.,,
Allevyn,Allevyn is a brand name wound dressing.,http://www.smith-nephew.com/key-products/advanced-wound-management/allevyn/allevyn-adhesive/,
allopurinol,"Allopurinol reduces uric acid and is used to treat gout and secondary conditions of tophi, joint destruction, uric acid lithiasis, and/or nephropathy.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=682dd8b8-fc6e-47c5-95b7-82d7ad96b750,
ALT,"alanine transaminase, used to assess liver health",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
ALT AST,These are liver function tests.  Alanine transaminase (ALT) is normally 7 to 55.  Aspartate transaminase (AST) is normally 8 to 48.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
ALT AST ALK,These are liver function tests.  Alanine transaminase (ALT) is normally 7 to 55.  Aspartate transaminase (AST) is normally 8 to 48.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
ALT AST:33/30,These are liver function tests.  Alanine transaminase (ALT) is normally 7 to 55.  Aspartate transaminase (AST) is normally 8 to 48.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001."
alteration nutrition,Alteration nutrition implies that the patient's nutrition intake needs to be altered.,https://www.michigan.gov/documents/mdch/bhs_CPG_Nutrition_205203_7.pdf,
altered mental status,temporary or permanent abnormal mental status,,
Alzheimers,permanent dementia,,
amber urine,Amber color of urine indicates severe dehydration.,https://www.mayoclinic.org/diseases-conditions/urine-color/symptoms-causes/syc-20367333,
amiodarone,Amiodarone is used to treat arrhythmia.,https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=amiodarone,
AML,Acute myelogenous leukemia,http://www.globalrph.com/abbreviations_A2.htm,
Amphotericin B,Amphotericin B is a medication used to treat serious fungal infection.,https://medlineplus.gov/druginfo/meds/a682643.html,
amplitude inferolateral,"Both terms, amplitude and inferolateral, are used to describe aspects of heart rhythm.",http://www.onlinejacc.org/content/accj/62/17/1610.full.pdf,
amt,amount,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
amylase lipase:,"Amylase levels over 180 indicate pancreatitis, acute parotitis, peritonitis, small intestine obstruction, perforated peptic ulcer, rupture of a tubal pregnancy, contraction of the sphincter of Oddi following morphine administration, or mesenteric thrombosis.  lipase is normally 0 to 160 u/L or 0 to 2.67 microkat/L; higher levels can be from bowel obstruction, celiac disease, duodenal ulcer, pancreatic cancer, pancreatitis, or pancreatic pseudocyst.",http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-a-index/amylase/,https://medlineplus.gov/ency/article/003465.htm
amylase lipase:/7,"Amylase levels over 180 indicate pancreatitis, acute parotitis, peritonitis, small intestine obstruction, perforated peptic ulcer, rupture of a tubal pregnancy, contraction of the sphincter of Oddi following morphine administration, or mesenteric thrombosis.  lipase is normally 0 to 160 u/L or 0 to 2.67 microkat/L; higher levels can be from bowel obstruction, celiac disease, duodenal ulcer, pancreatic cancer, pancreatitis, or pancreatic pseudocyst.",http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-a-index/amylase/,https://medlineplus.gov/ency/article/003465.htm
amylase lipase:24/10,"Amylase levels over 180 indicate pancreatitis, acute parotitis, peritonitis, small intestine obstruction, perforated peptic ulcer, rupture of a tubal pregnancy, contraction of the sphincter of Oddi following morphine administration, or mesenteric thrombosis.  lipase is normally 0 to 160 u/L or 0 to 2.67 microkat/L; higher levels can be from bowel obstruction, celiac disease, duodenal ulcer, pancreatic cancer, pancreatitis, or pancreatic pseudocyst.",http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-a-index/amylase/,https://medlineplus.gov/ency/article/003465.htm
amylase lipase:36/16,"Amylase levels over 180 indicate pancreatitis, acute parotitis, peritonitis, small intestine obstruction, perforated peptic ulcer, rupture of a tubal pregnancy, contraction of the sphincter of Oddi following morphine administration, or mesenteric thrombosis.  lipase is normally 0 to 160 u/L or 0 to 2.67 microkat/L; higher levels can be from bowel obstruction, celiac disease, duodenal ulcer, pancreatic cancer, pancreatitis, or pancreatic pseudocyst.",http://www.southend.nhs.uk/pathology-handbook/test-directory/test-directory-a-index/amylase/,https://medlineplus.gov/ency/article/003465.htm
anasarca,Anasarca is extreme edema that affects the whole body.,https://www.healthline.com/health/anasarca#symptoms,
ANC,Absolute neutrophil count,http://www.globalrph.com/abbreviations_A2.htm,
ANCA,"ANCA means Anti-Neutrophil Cytoplasmic Antibody, which are associated with autoimmunity.",Segan's Medical Dictionary.  Farlex Inc. 2012.,
anemia,Anemia is reduced capacity of the blood to carry enough oxygen.,"Miller-Keane Encyclopedia and Dictionary of Medicine, Nursing, and Allied Health, Seventh Edition. © 2003 by Saunders, an imprint of Elsevier, Inc.",
"anemia, hemolytic",Anemia is reduced capacity of the blood (because red blood cells are destroyed too soon) to carry enough oxygen.,https://medical-dictionary.thefreedictionary.com/hemolytic+anemia,
anuria,no urine production by kidneys,https://medical-dictionary.thefreedictionary.com/anuria,
aortic regurgitation,Aortic regurgitation means the aortic heart valve is leaky.,https://www.webmd.com/heart-disease/aortic-regurgitation#1,
aortic valve resuspension,Aortic valve resuspension is apparently a surgical procedure to restore the anchors of the aortic valve to the rest of the heart.,https://www.aapc.com/memberarea/forums/121675-assistance-report.html,
aortic valve: bioprosthetic,This is a replacement aortic valve made of animal tissue.,http://www.heart.org/HEARTORG/Conditions/More/HeartValveProblemsandDisease/Types-of-Replacement-Heart-Valves_UCM_451175_Article.jsp#.WsQ2vSVG31I,
apacute,AP acute is acute (new) abdominal pain.,http://www.globalrph.com/abbreviations_A2.htm,
apical dyskinesis,Apical dyskinesis is a heart problem that can be brought on by emotional distress.,http://www.elsevier.pt/en/revistas/revista-portuguesa-cardiologia-334/artigo/transient-apical-dyskinesia-with-pacemaker-electrocardiographic-features-S0870255115000748,
APML,APML is acute promyelocytic leukemia.,https://www.acronymfinder.com/Science-and-Medicine/APML.html,
apneic respiratory arrest likely,Apneic respiratory arrest likely means the patient is likely to stop breathing.,https://medlineplus.gov/ency/article/003069.htm,
APRV,"APRV is airway pressure release ventilation, a mode of mechanical ventilation of the lungs.",https://en.wikipedia.org/wiki/Airway_pressure_release_ventilation,
ARDS,acute respiratory distress syndrome,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
ARF,acute renal failure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db
arms weeping,"In context, edema was so severe that the skin was leaking fluids.",context,
arteriogram,This is an image of arteries.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
ASA,"acetylsalicylic acid, aspirin",http://www.globalrph.com/abbreviations_A2.htm,
ASA,"This is the American Society of Anesthesiology classification of potential for suffering complications from general anesthesia: ASA I normal to ASA VI brain dead patient whose organs are removed for donation, and E for emergency operation, which can be added to any of the above classifications.",https://medical-dictionary.thefreedictionary.com/ASA+I,
ASA,adaptive simulated annealing,https://www.acronymfinder.com/Science-and-Medicine/ASA.html,
ASA,alcohol and substance abuse,https://www.acronymfinder.com/Science-and-Medicine/ASA.html,
ASA,anti-sperm antibody,https://www.acronymfinder.com/Science-and-Medicine/ASA.html,
ASA,aspirin sensitive asthma,https://www.acronymfinder.com/Science-and-Medicine/ASA.html,
ASC,adult stem cell,https://www.acronymfinder.com/Science-and-Medicine/ASC.html,
ASC,altered state of consciousness,https://www.acronymfinder.com/Science-and-Medicine/ASC.html,
ASC,ambulatory surgery center,https://www.acronymfinder.com/Science-and-Medicine/ASC.html,
ASC,autism spectrum condition,https://www.acronymfinder.com/Science-and-Medicine/ASC.html,
Asc Ao,Asc Ao is the ascending aorta.,https://www.ncbi.nlm.nih.gov/pubmed/27412058,
ascites,Ascites is fluid buildup in the abdomen between the organs.,https://medlineplus.gov/ency/article/000281.htm,
asdir,as directed?,,
aspiration,"Aspiration of throat fluids, saliva, or stomach contents into the lungs can cause various lung problems.",http://journal.chestnet.org/article/S0012-3692(15)39680-X/fulltext,
assess effusions,Effusions are liquids in a space where they aren't normally found.,https://medical-dictionary.thefreedictionary.com/effusion,
assess infiltrates,"On a chest x-ray, infiltrates (white spots) indicate infection.",https://www.radiologyinfo.org/en/info.cfm?pg=pneumonia,
AST,"aspartate transaminase, used to assess liver health",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,
AST alk,used to assess liver health,,
AST alk phos,used to assess liver health,,
at 0100,At 0100 refers to 1:00 am.,,
atacand,Atacand is a drug treatment for high blood pressure.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=94a59260-d2b6-464a-b5b9-bbc599e57e10,
atelectasis,partial lung collapse,,
ativan,Ativan is lorazepam used to treat anxiety to allow for relaxation.,https://medlineplus.gov/druginfo/meds/a682053.html,
atorvastatin,"Atorvastatin is given to reduce low-density lipoprotein cholesterol and triglycerides, and raise high-density lipoprotein cholesterol in the blood.",https://medlineplus.gov/druginfo/meds/a600045.html,
ATRA,"ATRA is all-trans-retinoic acid, used to treat acute promyelocytic leukemia.",https://www.cancer.org/cancer/acute-myeloid-leukemia/treating/other-drugs.html,
ATRA syndrome,ATRA syndrome is a type of retinoic acid syndrome (RAS) and differentiation syndrome (DS) and is a complication of treatment of people with acute promyelocytic leukemia (APML).,https://en.wikipedia.org/wiki/Retinoic_acid_syndrome,
atrovent,"Ipratropium oral inhalation is used to prevent wheezing, shortness of breath, coughing, and chest tightness in people with chronic obstructive pulmonary disease (COPD).",,
auto SCT,Auto SCT is autologous stem cell transplantation to treat cancer.,https://www.mayoclinic.org/tests-procedures/autologous-stem-cell-transplant/gnc-20248048,
auto transferred,"Auto transferred could refer to either self-transfer between bed and chair, or patient-directed transfer between hospitals.",,
AV paced,AV paced refers to a type of artificial pacing of heart rhythms with a pacemaker.,https://www.thecardiologyadvisor.com/home/decision-support-in-medicine/cardiology/modes-of-cardiac-pacing-nomenclature-selection-and-indications-for-permanent-cardiac-pacing/,
AVR,accelerated ventricular rhythm,https://www.allacronyms.com/_medical/AVR,
AVR,aortic valve replacement,https://www.allacronyms.com/_medical/AVR,
awaiting unit,"could mean waiting for a unit of blood or blood component, or waiting to be discharged from critical care unit",,
Ax-fem,Ax-fem is axillo-femoral or axillo-bifemoral bypass vascular surgery.,https://www.kentuckyonehealth.org/documents/Nursing/abreviations_letter_091109.pdf,
B/P,blood pressure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_B,
B22 K4,Dialysate for continuous renal replacement therapy (CRRT) in critical care.,https://hub.hku.hk/bitstream/10722/217171/1/content.pdf?accept=1,https://pdfs.semanticscholar.org/c819/1c355b8b271b7b1fd58d98c0e1f938ec4b88.pdf
B22GK4/0,Dialysate for continuous renal replacement therapy (CRRT) in critical care.,http://crrtonline.com/docs/solutions_comp.pdf,
babesiosis,Babesiosis is a parasite red blood cell infection spread by ticks.,https://www.cdc.gov/parasites/babesiosis/index.html,
Bacitracin washout,Bacitracin washout is a postsurgical rinse of a wound before closure.,https://academic.oup.com/icvts/article/7/3/464/673199,
bacteremia,bacterial infection of the blood,,
Bacteroides fragilis,"Bacteroides fragilis is a gram-negative anaerobe which is a frequent isolate in anaerobic cultures; it is associated with abscesses, aspiration pneumonia, endocarditis, septic arthritis and empyema.",Segan's Medical Dictionary.  Farlex Inc. 2012.,
bag draining liquid brown,This probably refers to a bag for stool collection.,,
Bair Hugger,Device that uses forced warm air to keep patient warm.,https://www.nurses.com/doc/bair-hugger-therapy-0001,
band,immature WBCs; signal from lab analysis that bone marrow is making more WBCs in response to infection or inflammation,,
band lymph,types of WBC,,
band mono,types of WBC,,
band:0.0 %,Bands (immature neutrophils) are normally 0 to 3% on the differential.,https://medlineplus.gov/ency/article/003657.htm,
bases,lower lobes of lungs,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
bases dim,Breath sounds are quieter than normal in lower parts of lungs.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
basilic vein,The basilic vein is in the upper arm along the biceps muscle.,https://www.merriam-webster.com/medical/basilic%20vein,
BB,Beta-blocker is a drug to treat high blood pressure.,https://www.acronymfinder.com/Science-and-Medicine/BB.html,
BB,bundle branch,https://www.acronymfinder.com/Science-and-Medicine/BB.html,
BC fungal,Blood culture shows fungus.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_B,
BEAM,brain electrical activity mapping,https://www.acronymfinder.com/Science-and-Medicine/BEAM.html,
BEAM,This is a high-dose chemotherapy treatment for hodgkin lymphoma and non-hodgkin lymphoma.,https://www.macmillan.org.uk/cancerinformation/cancertreatment/treatmenttypes/chemotherapy/combinationregimen/beam.aspx,
BEAM,BEAM in the context of lymphoma refers to a lymphoma treatment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5119960/,
BEAM auto,Auto in the context of beam refers to cancer treatment.,,
bed heater,bed heater,,
bibasilar,Bibasilar pertains to both lung bases.,https://medical-dictionary.thefreedictionary.com/bibasilar,
bilat,bilateral,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_B,
bili,bilirubin,https://www.allacronyms.com/BILI/medical,
BILI,Brain Ischemia Lung Injury,https://www.allacronyms.com/BILI/medical,
bili:105/0.1,A liver function test. Normal alkaline phosphatase is 45 to 115. Normal bilirubin is 0.1 to 1.2.,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
biliary tree,The biliary tree is the bile ducts and gallbladder.,https://www.merriam-webster.com/medical/biliary%20tree,
bilious drainage,"Bilious drainage means there is more bile than usual in the drainage, usually indicating liver dysfunction.",https://www.medicinenet.com/script/main/art.asp?articlekey=11721,
bilious drg,"Bilious drg means there is more bile than usual in the drainage, usually indicating liver dysfunction.",https://www.medicinenet.com/script/main/art.asp?articlekey=11721,
biphenotypic leukemia,"Biphenotypic acute leukaemia (BAL) is a mixture of both types of acute leukaemias, acute myeloid leukaemia (AML) and acute lymphoblastic leukaemia (ALL).",https://www.leukaemia.org.au/disease-information/leukaemias/biphenotypic-leukaemia/,
BKA,BKA is below the knee amputation.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
BLBS,bilateral breath sounds,https://www.acronymfinder.com/Science-and-Medicine/BLBS.html,
BLBS coarse,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
blister,"A blister is a fluid-filled, thin-walled structure under the epidermis or within the epidermis (subepidermal or intradermal).",https://www.medilexicon.com/dictionary/10736,
blister,Blisters can be on the skin or internal mucosa.,,
blood cultures drawn showed species gram-negative,infection in the blood,,
blood product,Whole blood and blood components are called blood products.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
blush,"Blush is tumor blush, the enhancement of a tumor on radiologic examinations by administration of contrast agents.",https://medical-dictionary.thefreedictionary.com/tumor+blush,
blush,Blush is a sudden and brief redness of the face and neck.,https://www.medilexicon.com/dictionary/10855,
blush,"Blush is used metaphorically in angiography to describe neovascularity or, in some cases, extravasation.",https://www.medilexicon.com/dictionary/10855,
BM,bowel movement,,
BMS,bare metal stent,https://www.acronymfinder.com/Science-and-Medicine/BMS.html,
BMS,bone marrow suppression,https://www.acronymfinder.com/Science-and-Medicine/BMS.html,
BMS LMCA,"BMS LMCA is a bare metal stent placed in an artery, to treat vascular obstruction caused by plaque.",https://www.acronymfinder.com/Science-and-Medicine/BMS.html,https://www.acronymfinder.com/Science-and-Medicine/LMCA.html
BMT,basal metabolic temperature,https://www.acronymfinder.com/BMT.html,
BMT,behavioral modification technique,https://www.acronymfinder.com/BMT.html,
BMT,best medical therapy,https://www.acronymfinder.com/BMT.html,
BMT,bilateral myringotomy tube/tympanostomy,https://www.acronymfinder.com/BMT.html,
BMT,bone marrow transplant,https://www.acronymfinder.com/BMT.html,
BMT,brain-music therapy,https://www.acronymfinder.com/BMT.html,
BMT,buprenorphine maintenance treatment,https://www.acronymfinder.com/BMT.html,
BMT fulminant,BMT fulminant means liver failure suddenly occurred after bone marrow transplant.,http://www.nature.com/articles/1702453,
bone marrow transplant,"Bone marrow transplant: before bone marrow is therapeutically destroyed, the healthy bone marrow stem cells from the patient or a genetically-close person are harvested.  After the bone marrow destruction, the healthy cells are injected into the patient.  This is a treatment for multiple myeloma.",https://www.encyclopedia.com/medicine/diseases-and-conditions/pathology/multiple-myeloma,
BOOP,"Bronchiolitis obliterans with organizing pneumonia (BOOP), also called Cryptogenic Organizing Pneumonia (COP), is a rare lung condition affecting the small airways (bronchioles), alveoli (tiny air sacs) and the walls of small bronchi. It involves inflammation and stiffening of affected lung areas with connective tissue.  Symptoms include gradual onset of shortness of breath and dry cough.",http://www.lung.org/lung-health-and-diseases/lung-disease-lookup/boop/,
